Station_ID,lat,lon,capacity,type
P1,40.85,-73.85,21.0,DPV
P2,41.05,-73.65,33.0,DPV
P3,41.05,-73.75,33.0,DPV
P4,41.05,-73.85,33.0,DPV
P5,41.15,-73.65,33.0,DPV
P6,41.15,-73.75,33.0,DPV
P7,41.15,-73.85,33.0,DPV
P8,41.15,-73.95,35.0,DPV
P9,41.15,-74.05,35.0,DPV
P10,41.25,-73.55,38.0,UPV
P11,41.25,-73.65,33.0,DPV
P12,41.25,-73.75,33.0,DPV
P13,41.25,-73.85,33.0,DPV
P14,41.25,-74.05,35.0,DPV
P15,41.25,-74.15,29.0,UPV
P16,41.25,-74.25,126.0,UPV
P17,41.35,-73.75,33.0,DPV
P18,41.35,-74.35,33.0,DPV
P19,41.35,-74.45,23.0,UPV
P20,41.45,-73.75,35.0,DPV
P21,41.45,-73.85,29.0,UPV
P22,41.45,-74.25,33.0,DPV
P23,41.45,-74.35,33.0,DPV
P24,41.45,-74.55,88.0,UPV
P25,41.55,-73.65,101.0,UPV
